,Date_Time,HLAvg,MA,Returns
1027408,2001-01-01,124.165,124.17821428571429,-2.876009479518074e-05
1027410,2001-01-01,124.17,124.17678571428571,-1.1504269522244057e-05
1027412,2001-01-01,124.165,124.17571428571429,-8.628288995858654e-06
1027414,2001-01-01,124.17,124.17464285714286,-8.628363444060244e-06
1027416,2001-01-01,124.17,124.17607142857143,1.1504468047958203e-05
1027418,2001-01-01,124.16,124.17321428571428,-2.3009068450203496e-05
1027420,2001-01-01,124.16,124.17035714285714,-2.3009597879450913e-05
1027422,2001-01-01,124.16,124.16785714285716,-2.0133832461175075e-05
1027424,2001-01-01,124.16,124.16678571428572,-8.628909435360657e-06
1027426,2001-01-01,124.165,124.16678571428572,0.0
1027428,2001-01-01,124.185,124.16857142857144,1.4381474360326972e-05
1027430,2001-01-01,124.18,124.1689285714286,2.876270053020761e-06
1027432,2001-01-01,124.17,124.16785714285713,-8.628834978166144e-06
1027434,2001-01-01,124.18,124.16857142857144,5.752564925141186e-06
1027436,2001-01-01,124.19,124.17035714285714,1.4381267536301435e-05
1027438,2001-01-01,124.195,124.17214285714286,1.4381060718493015e-05
1027440,2001-01-01,124.21000000000001,124.17535714285715,2.5885388131428673e-05
1027442,2001-01-01,124.205,124.17785714285715,2.0132616421158264e-05
1027444,2001-01-01,124.215,124.18107142857141,2.5884196979997843e-05
1027446,2001-01-01,124.23,124.18607142857142,4.0262974749185916e-05
1027448,2001-01-01,124.20500000000001,124.18928571428572,2.5882484892543263e-05
1027450,2001-01-01,124.215,124.19321428571428,3.1633238484038365e-05
1027452,2001-01-01,124.215,124.19714285714288,3.1632237854359945e-05
1027454,2001-01-01,124.235,124.20214285714287,4.025776472181714e-05
1027456,2001-01-01,124.215,124.2042857142857,1.7252831621120627e-05
1027458,2001-01-01,124.25,124.2092857142857,4.0255449586787144e-05
1027460,2001-01-01,124.27,124.21642857142857,5.750497419620355e-05
1027462,2001-01-01,124.255,124.22178571428572,4.312656064926341e-05
1027464,2001-01-01,124.255,124.22642857142856,3.737484816886284e-05
1027466,2001-01-01,124.265,124.23142857142857,4.02482743607602e-05
1027468,2001-01-01,124.24,124.23357142857142,1.724876455776246e-05
1027470,2001-01-01,124.25,124.23678571428572,2.5872588999616545e-05
1027472,2001-01-01,124.265,124.24035714285712,2.874653604409229e-05
1027474,2001-01-01,124.275,124.24357142857143,2.5871175918331128e-05
1027476,2001-01-01,124.3,124.25035714285714,5.461472903098495e-05
1027478,2001-01-01,124.305,124.25678571428571,5.173751833532678e-05
1027480,2001-01-01,124.29499999999999,124.2625,4.598665812886532e-05
1027482,2001-01-01,124.28999999999999,124.26642857142858,3.1614600774984935e-05
1027484,2001-01-01,124.28,124.27107142857143,3.7361421462813105e-05
1027486,2001-01-01,124.265,124.27214285714285,8.621668264011648e-06
1027488,2001-01-01,124.27000000000001,124.27214285714287,2.2204460492503128e-16
1027490,2001-01-01,124.265,124.27285714285713,5.747737546646906e-06
1027492,2001-01-01,124.265,124.27357142857144,5.7477045108184215e-06
1027494,2001-01-01,124.25999999999999,124.27321428571429,-2.8738481258291846e-06
1027496,2001-01-01,124.285,124.27642857142857,2.5864335812486967e-05
1027498,2001-01-01,124.275,124.27821428571428,1.4368786398184358e-05
1027500,2001-01-01,124.265,124.2782142857143,2.2204460492503128e-16
1027502,2001-01-01,124.27000000000001,124.27785714285714,-2.8737407628463396e-06
1027504,2001-01-01,124.265,124.27535714285715,-2.011641657711095e-05
1027506,2001-01-01,124.27000000000001,124.27285714285713,-2.0116821255659925e-05
1027508,2001-01-01,124.275,124.27142857142857,-1.1495508130241552e-05
1027510,2001-01-01,124.275,124.27035714285715,-8.621717819756115e-06
1027512,2001-01-01,124.275,124.27,-2.8739224588049766e-06
1027514,2001-01-01,124.275,124.27071428571428,5.747836657907088e-06
1027516,2001-01-01,124.255,124.26964285714284,-8.621767376209325e-06
1027518,2001-01-01,124.275,124.27035714285715,5.747853177042566e-06
1027520,2001-01-01,124.275,124.27107142857143,5.747820139215697e-06
1027522,2001-01-01,124.27,124.27178571428571,5.747787101832912e-06
1027524,2001-01-01,124.275,124.27107142857143,-5.747787101982937e-06
1027526,2001-01-01,124.275,124.27107142857143,0.0
1027528,2001-01-01,124.25,124.27,-8.621742598038231e-06
1027530,2001-01-01,124.25999999999999,124.26928571428572,-5.74786969572323e-06
1027532,2001-01-01,124.25,124.2682142857143,-8.621866490448033e-06
1027534,2001-01-01,124.25999999999999,124.26750000000001,-5.747952292017058e-06
1027536,2001-01-01,124.25999999999999,124.26642857142858,-8.62199038663264e-06
1027538,2001-01-01,124.265,124.26571428571427,-5.748034890753398e-06
1027540,2001-01-01,124.255,124.26428571428572,-1.1496168901614657e-05
1027542,2001-01-01,124.25999999999999,124.26321428571428,-8.622213408491403e-06
1027544,2001-01-01,124.255,124.26321428571428,0.0
1027546,2001-01-01,124.25,124.26142857142857,-1.4370520888521248e-05
1027548,2001-01-01,124.245,124.25928571428571,-1.7244897666303292e-05
1027550,2001-01-01,124.255,124.25821428571427,-8.62256035440173e-06
1027552,2001-01-01,124.25,124.25642857142859,-1.4371099144836235e-05
1027554,2001-01-01,124.24,124.25392857142856,-2.0119885777442536e-05
1027556,2001-01-01,124.235,124.25285714285714,-8.622932113122557e-06
1027558,2001-01-01,124.24,124.25142857142858,-1.1497358481958294e-05
